eruptionID,primaryID,time,exact,ns,ie,E,A,q,webcam,durationSec
810144,810144,1453050360,1,0,0,0,0,0,1,
810145,810144,1453050360,1,0,0,0,0,0,1,
810146,810144,1453050360,1,0,0,0,0,0,1,225
810157,810157,1453055940,1,0,0,0,0,0,1,225
810158,810158,1453061460,1,0,0,0,0,0,1,225
810165,810165,1453067520,1,0,0,0,0,0,1,
810173,810173,1453073160,0,0,1,0,0,0,1,
810189,810189,1453078860,1,0,0,0,0,0,1,
810195,810195,1453084200,1,0,0,0,0,0,1,
810198,810198,1453090260,1,0,0,0,0,0,1,
810194,810194,1453096560,1,0,0,0,0,0,1,
810203,810203,1453101900,1,0,0,0,0,0,1,
810224,810224,1453113600,1,0,0,0,0,0,1,
810225,810225,1453119540,1,0,0,0,0,0,1,
810205,810205,1453124940,1,0,0,0,0,0,1,
810206,810205,1453124940,1,0,0,0,0,0,1,
810210,810210,1453130760,1,0,0,0,0,0,1,
810223,810223,1453136220,1,0,0,0,0,0,1,
810252,810252,1453142040,1,0,0,0,0,0,1,
810260,810260,1453147680,1,0,0,0,0,0,1,
810273,810273,1453153380,1,0,0,0,0,0,1,
810284,810284,1453156860,1,0,0,0,0,0,1,
810298,810298,1453163340,1,0,0,0,0,0,1,180
810306,810306,1453168560,1,0,0,0,0,0,1,
810309,810309,1453174320,1,0,0,0,0,0,1,
810312,810312,1453179840,1,0,0,0,0,0,1,
810314,810314,1453185480,1,0,0,0,0,0,1,
810317,810317,1453190940,1,0,0,0,0,0,1,
810322,810322,1453197240,1,0,0,0,0,0,1,
810325,810325,1453202940,1,0,0,0,0,0,1,
810320,810320,1453209300,1,0,0,0,0,0,1,
810332,810332,1453214820,1,0,0,0,0,0,1,
810333,810332,1453214820,1,0,0,0,0,0,1,
810348,810348,1453220580,1,0,0,0,0,0,1,
810361,810361,1453226940,1,0,0,0,0,0,1,
810362,810361,1453226940,1,0,0,0,0,0,1,
810369,810369,1453231980,1,0,0,0,0,0,1,
810370,810369,1453231980,1,0,0,0,0,0,1,
810376,810376,1453237740,1,0,0,0,0,0,1,
810379,810376,1453237740,1,0,0,0,0,0,1,
810382,810382,1453243560,1,0,0,0,0,0,1,
810386,810386,1453249380,1,0,0,0,0,0,1,
810418,810418,1453254840,1,0,0,0,0,0,1,
810420,810420,1453260240,0,1,0,0,0,0,1,
810458,810458,1453282080,1,0,0,0,0,0,1,
810421,810421,1453288020,1,0,0,0,0,0,1,
810422,810422,1453293840,1,0,0,0,0,0,1,
810434,810434,1453299480,1,0,0,0,0,0,1,
810442,810442,1453304520,1,0,0,0,0,0,1,
810443,810442,1453304520,1,0,0,0,0,0,1,
810463,810463,1453310280,1,0,0,0,0,0,1,
810477,810477,1453315980,1,0,0,0,0,0,1,
810497,810499,1453321740,1,0,0,0,0,0,1,
810499,810499,1453321740,1,0,0,0,0,0,1,
810505,810505,1453327860,1,0,0,0,0,0,1,
810509,810509,1453333560,1,0,0,0,0,0,1,
810510,810509,1453333620,1,0,0,0,0,0,1,
810514,810514,1453338960,1,0,0,0,0,0,1,
810517,810517,1453344900,1,0,0,0,0,0,1,
810520,810520,1453350840,1,0,0,0,0,0,1,
810523,810523,1453356120,1,0,0,0,0,0,1,
810525,810525,1453362420,1,0,0,0,0,0,1,
810529,810529,1453373820,1,0,0,0,0,0,1,
810530,810529,1453373880,1,0,0,0,0,0,1,
810531,810531,1453379880,1,0,0,0,0,0,1,
810538,810538,1453385520,1,0,0,0,0,0,1,
810539,810538,1453385520,1,0,0,0,0,0,1,
810551,810551,1453390680,1,0,0,0,0,0,1,
810552,810551,1453390740,0,0,1,0,0,0,1,
810558,810558,1453396500,1,0,0,0,0,0,1,
810557,810558,1453396620,1,0,0,0,0,0,1,
810567,810567,1453401960,1,0,0,0,0,0,1,
810579,810579,1453407600,1,0,0,0,0,0,1,
810597,810597,1453412940,1,0,0,0,0,0,1,
810595,810597,1453413000,1,0,0,0,0,0,1,
810596,810597,1453413000,1,0,0,0,0,0,1,
810607,810607,1453418520,1,0,0,0,0,0,1,
810662,810662,1453424820,1,0,0,0,0,0,1,
810615,810615,1453430580,0,0,1,0,0,0,1,
810665,810665,1453435920,1,0,0,0,0,0,1,
810669,810669,1453441680,1,0,0,0,0,0,1,
810660,810660,1453447440,1,0,0,0,0,0,1,
810661,810661,1453458240,1,0,0,0,0,0,1,
810616,810616,1453464540,1,0,0,0,0,0,1,
810617,810617,1453471020,1,0,0,0,0,0,1,
810618,810617,1453471020,1,0,0,0,0,0,1,
810621,810621,1453476540,1,0,0,0,0,0,1,
810634,810634,1453482300,1,0,0,0,0,0,1,
810653,810653,1453487760,1,0,0,0,0,0,1,
810674,810674,1453493880,1,0,0,0,0,0,1,
810687,810687,1453499220,1,0,0,0,0,0,1,
810705,810705,1453505040,1,0,0,0,0,0,1,
810704,810704,1453510620,1,0,0,0,0,0,1,
810702,810702,1453516140,1,0,0,0,0,0,1,
810709,810709,1453522020,1,0,0,0,0,0,1,
810710,810709,1453522020,1,0,0,0,0,0,1,
810715,810715,1453527900,1,0,0,0,0,0,1,
810719,810719,1453534080,1,0,0,0,0,0,1,
810722,810722,1453545300,1,0,0,0,0,0,1,
810725,810725,1453550520,1,0,0,0,0,0,1,
810731,810731,1453556400,1,0,0,0,0,0,1,
810732,810731,1453556400,1,0,0,0,0,0,1,
810733,810733,1453561800,1,0,0,0,0,0,1,
810734,810733,1453561800,1,0,0,0,0,0,1,
810745,810745,1453567800,1,0,0,0,0,0,1,240
810746,810745,1453567800,1,0,0,0,0,0,1,
810767,810767,1453573560,1,0,0,0,0,0,1,
810778,810778,1453579200,1,0,0,0,0,0,1,
810779,810778,1453579260,1,0,0,0,0,0,1,
810789,810789,1453584780,1,0,0,0,0,0,1,
810793,810793,1453590120,1,0,0,0,0,0,1,
810794,810793,1453590120,1,0,0,0,0,0,1,
810801,810801,1453596180,1,0,0,0,0,0,1,
810802,810801,1453596180,1,0,0,0,0,0,1,
810809,810809,1453601940,1,0,0,0,0,0,1,
810811,810811,1453607280,1,0,0,0,0,0,1,
810815,810815,1453613580,1,0,0,0,0,0,1,
810817,810817,1453618980,1,0,0,0,0,0,1,
810820,810820,1453625040,1,0,0,0,0,0,1,
810822,810822,1453630020,1,0,0,0,0,0,1,
810827,810827,1453636080,1,0,0,0,0,0,1,
810833,810833,1453641960,1,0,0,0,0,0,1,
810834,810833,1453641960,1,0,0,0,0,0,1,
810839,810839,1453648260,1,0,0,0,0,0,1,
810848,810848,1453653780,1,0,0,0,0,0,1,210
810849,810848,1453653780,1,0,0,0,0,0,1,
810858,810858,1453659600,1,0,0,0,0,0,1,
810859,810858,1453659600,1,0,0,0,0,0,1,
810860,810858,1453659600,1,0,0,0,0,0,1,
810869,810869,1453666080,1,0,0,0,0,0,1,240
810878,810878,1453671480,1,0,0,0,0,0,1,
810884,810884,1453676700,1,0,0,0,0,0,1,
810889,810889,1453682220,1,0,0,0,0,0,1,
810892,810892,1453687800,1,0,0,0,0,0,1,
810895,810895,1453692840,1,0,0,0,0,0,1,
810898,810898,1453698780,1,0,0,0,0,0,1,
810890,810890,1453704420,0,0,1,0,0,0,1,
810903,810903,1453709760,1,0,0,0,0,0,1,
810904,810904,1453715700,1,0,0,0,0,0,1,
810906,810906,1453721340,1,0,0,0,0,0,1,
810909,810909,1453726860,1,0,0,0,0,0,1,
810915,810915,1453732380,1,0,0,0,0,0,1,
810916,810916,1453737720,1,0,0,0,0,0,1,
810920,810920,1453742880,1,0,0,0,0,0,1,
810931,810931,1453748820,1,0,0,0,0,0,1,
810936,810936,1453754280,1,0,0,0,0,0,1,
810938,810938,1453759560,1,0,0,0,0,0,1,
810939,810938,1453759560,1,0,0,0,0,0,1,
810941,810941,1453764960,1,0,0,0,0,0,1,
810946,810946,1453770960,1,0,0,0,0,0,1,
810948,810948,1453776420,1,0,0,0,0,0,1,
810950,810950,1453781640,1,0,0,0,0,0,1,
810953,810953,1453787520,1,0,0,0,0,0,1,
810957,810957,1453793400,1,0,0,0,0,0,1,
810970,810970,1453804620,1,0,0,0,0,0,1,
810962,810962,1453809900,1,0,0,0,0,0,1,
810966,810966,1453815600,1,0,0,0,0,0,1,
810967,810966,1453815600,1,0,0,0,0,0,1,
810973,810973,1453821060,1,0,0,0,0,0,1,
810978,810978,1453827360,1,0,0,0,0,0,1,
810979,810978,1453827360,1,0,0,0,0,0,1,
810981,810981,1453832700,1,0,0,0,0,0,1,
810980,810981,1453832820,0,0,1,0,0,0,1,
810988,810988,1453838100,1,0,0,0,0,0,1,
810994,810994,1453843980,1,0,0,0,0,0,1,
810996,810996,1453849200,1,0,0,0,0,0,1,
810998,810998,1453854660,1,0,0,0,0,0,1,
811000,811000,1453860480,1,0,0,0,0,0,1,
811003,811003,1453866000,1,0,0,0,0,0,1,
811004,811004,1453871640,1,0,0,0,0,0,1,
811006,811006,1453875060,1,0,0,0,0,0,1,
811009,811009,1453881960,1,0,0,0,0,0,1,
811015,811015,1453891680,1,0,0,0,0,0,1,
811017,811017,1453897260,1,0,0,0,0,0,1,
811018,811018,1453902840,1,0,0,0,0,0,1,
811019,811018,1453902840,1,0,0,0,0,0,1,
811022,811022,1453909140,1,0,0,0,0,0,1,
811027,811027,1453914240,1,0,0,0,0,0,1,
811029,811029,1453918080,1,0,0,0,0,0,1,
811028,811029,1453918140,0,0,1,0,0,0,1,
811032,811032,1453923900,1,0,0,0,0,0,1,210
811033,811032,1453923900,1,0,0,0,0,0,1,
811037,811037,1453929720,1,0,0,0,0,0,1,
811042,811042,1453934820,1,0,0,0,0,0,1,
811043,811043,1453938840,1,0,0,0,0,0,1,
811045,811045,1453944960,1,0,0,0,0,0,1,
811047,811047,1453949880,1,0,0,0,0,0,1,
811048,811048,1453955820,1,0,0,0,0,0,1,
811049,811049,1453961640,1,0,0,0,0,0,1,
811050,811050,1453967460,1,0,0,0,0,0,1,
811051,811051,1453973340,1,0,0,0,0,0,1,
811053,811053,1453978380,1,0,0,0,0,0,1,
811054,811054,1453983960,1,0,0,0,0,0,1,
811055,811054,1453983960,1,0,0,0,0,0,1,
811056,811056,1453989360,1,0,0,0,0,0,1,
811057,811057,1453995000,1,0,0,0,0,0,1,
811058,811058,1454001060,1,0,0,0,0,0,1,
811059,811058,1454001060,1,0,0,0,0,0,1,
811073,811073,1454006760,1,0,0,0,0,0,1,
811075,811073,1454006760,1,0,0,0,0,0,1,
811083,811083,1454013360,1,0,0,0,0,0,1,270
811084,811083,1454013360,1,0,0,0,0,0,1,
811085,811083,1454013360,1,0,0,0,0,0,1,
811090,811090,1454018580,1,0,0,0,0,0,1,
811096,811096,1454023860,1,0,0,0,0,0,1,
811097,811096,1454023860,1,0,0,0,0,0,1,
811098,811098,1454029080,1,0,0,0,0,0,1,
811100,811100,1454035260,1,0,0,0,0,0,1,
811102,811102,1454041380,1,0,0,0,0,0,1,
811103,811103,1454046900,1,0,0,0,0,0,1,
811104,811104,1454052000,1,0,0,0,0,0,1,
811111,811111,1454063760,1,0,0,0,0,0,1,
811136,811136,1454069100,1,0,0,0,0,0,1,
811109,811109,1454074740,1,0,0,0,0,0,1,
811110,811110,1454079840,1,0,0,0,0,0,1,
811115,811115,1454085420,1,0,0,0,0,0,1,
811116,811115,1454085420,1,0,0,0,0,0,1,
811120,811120,1454091120,1,0,0,0,0,0,1,
811121,811120,1454091120,1,0,0,0,0,0,1,
811130,811130,1454096940,1,0,0,0,0,0,1,
811131,811130,1454097000,1,0,0,0,0,0,1,
811147,811147,1454102640,1,0,0,0,0,0,1,
811150,811150,1454108340,1,0,0,0,0,0,1,
811151,811150,1454108340,1,0,0,0,0,0,1,210
811152,811152,1454114580,1,0,0,0,0,0,1,240
811153,811153,1454119620,1,0,0,0,0,0,1,225
811154,811153,1454119620,1,0,0,0,0,0,1,
811155,811155,1454125440,1,0,0,0,0,0,1,
811156,811155,1454125440,1,0,0,0,0,0,1,
811168,811168,1454131320,1,0,0,0,0,0,1,
811170,811170,1454148060,1,0,0,0,0,0,1,
811172,811172,1454153460,1,0,0,0,0,0,1,
811179,811179,1454159280,1,0,0,0,0,0,1,
811184,811184,1454165760,1,0,0,0,0,0,1,
811185,811184,1454165760,1,0,0,0,0,0,1,
811187,811187,1454171220,0,1,0,0,0,0,1,
811190,811190,1454176560,0,1,0,0,0,0,1,
811196,811196,1454182380,1,0,0,0,0,0,1,
